,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,type
@UBC,0.0,0.0,0.0,0.0,0.0,0.0,0.2908957,0.0,0.0,0.052904636,0.0,0.054254822,0.0,0.0,0.0,0.0,0.0,0.0,0.0395988,0.052675087,0.0,0.0,0.0,0.1341343,0.0,0.07039567,0.0,0.17620747,0.0,0.27222547,0.0,0.0,0.0,0.0,0.0,0.12782873,0.2108565,0.0,0.3310442,0.34237906,0.004694167,0.0,0.21146706,0.0,0.032768928,0.21333644,0.0054333545,0.0,0.23561437,0.0,0.0,0.0,0.3050444,0.3173982,0.035452753,0.0,0.26583597,0.25211877,0.0,0.1054857,0.01032344,0.046793554,0.0,0.0,0
A1CF,0.01792496,0.0,0.061060175,0.0,0.0,0.0,0.19992599,0.0,0.0,0.0,0.0,0.09880708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11546629,0.0,0.0,0.0,0.0,0.0,0.20425707,0.0,0.0,0.0,0.1882969,0.04558974,0.0,0.0,0.0,0.0,0.33795577,0.2225103,0.0,0.36278337,0.23197713,0.15801619,0.0,0.30471256,0.0,0.0,0.071749635,0.1501047,0.0,0.2603672,0.0,0.0,0.0,0.34120676,0.18690528,0.0,0.0,0.20290157,0.16006023,0.10150208,0.25048625,0.0,0.0,0.0,0.0,0
A2M,0.2252399,0.0,0.14408359,0.0,0.0,0.0,0.088175766,0.0,0.0,0.0,0.0,0.09574212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076414555,0.0,0.0,0.0,0.0,0.0,0.21053208,0.0,0.012237256,0.0,0.1839202,0.038773846,0.0,0.0,0.0,0.0,0.3057507,0.24475248,0.0,0.31144544,0.3027993,0.19924311,0.0,0.27582183,0.0,0.0,0.13951278,0.08620193,0.0,0.27857882,0.0,0.0,0.0,0.31791794,0.1340803,0.0,0.0,0.23134303,0.20010343,0.0,0.2257502,0.0,0.0,0.0,0.0,0
AAAS,0.25755045,0.0,0.26446217,0.0,0.0,0.0,0.17107825,0.0,0.0,0.0,0.0,0.09726456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16378559,0.0,0.07536957,0.0,0.19933952,0.0,0.06888884,0.0,0.1267636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34605548,0.3154436,0.0,0.2679781,0.29483277,0.26334238,0.0,0.17045182,0.0,0.0,0.0,0.110555366,0.0,0.29267478,0.0,0.0,0.0,0.11052483,0.0,0.0698365,0.0,0.14168227,0.21061239,0.0,0.27592772,0.0,0.0,0.0,0.0,0
AACS,0.24342655,0.0,0.263247,0.0,0.0,0.0,0.07251873,0.0,0.0,0.0,0.0,0.04878588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18191855,0.0,0.033567768,0.0,0.1678718,0.0,0.093742706,0.0,0.20893607,0.0,0.03384434,0.0,0.0,0.0,0.0,0.0,0.3458399,0.30921334,0.0,0.28072158,0.2922061,0.25847772,0.0,0.17920592,0.0,0.0,0.0,0.13219364,0.0,0.2854587,0.0,0.0,0.0,0.13438097,0.0,0.04811012,0.0,0.15578143,0.21709436,0.0,0.28062585,0.0,0.0,0.0,0.0,0
AAGAB,0.3024135,0.0,0.15751943,0.12128026,0.0,0.0,0.22310363,0.0,0.0,0.0,0.0,0.07571021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13813438,0.0,0.121929795,0.0,0.13987441,0.0,0.13503096,0.0,0.1322366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3369988,0.31012565,0.0,0.27120715,0.28926393,0.25528976,0.0,0.1778758,0.0,0.0,0.0,0.122411996,0.0,0.28699633,0.0,0.0,0.0,0.1215208,0.0,0.054692663,0.0,0.1544031,0.21548194,0.0,0.274073,0.0,0.0,0.0,0.0,0
AAMP,0.33588824,0.0,0.1405039,0.02979404,0.0,0.0,0.17068473,0.0,0.0,0.0,0.0,0.14786768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11163571,0.0,0.06281785,0.0,0.1524678,0.0,0.181007,0.0,0.19865383,0.0,0.0,0.01689127,0.0,0.0,0.0,0.0,0.33678025,0.30733567,0.0,0.26883322,0.28926882,0.2572262,0.0,0.17067283,0.0,0.0,0.0,0.10930136,0.0,0.28340173,0.0,0.0,0.0,0.11146259,0.0,0.0656197,0.0,0.14154287,0.20585221,0.0,0.26993242,0.0,0.0,0.0,0.0,0
AARS,0.3089926,0.0,0.21585438,0.0,0.0,0.0,0.1364766,0.0,0.0,0.0,0.0,0.14504902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11280089,0.0,0.10334593,0.0,0.1553794,0.0,0.08168,0.0,0.18388416,0.0,0.028158352,0.0,0.0,0.0,0.0,0.0,0.3465833,0.3147189,0.0,0.26503676,0.2936724,0.2662701,0.0,0.17046523,0.0,0.0,0.0,0.11301393,0.0,0.29309496,0.0,0.0,0.0,0.10847699,0.0,0.063849635,0.0,0.1450952,0.21324158,0.0,0.26977932,0.0,0.0,0.0,0.0,0
AARS2,0.3033861,0.0,0.20173447,0.0,0.0,0.0,0.1452131,0.0,0.0,0.0,0.0,0.12205826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10304567,0.0,0.081749424,0.0,0.17617536,0.0,0.13784434,0.0,0.13873678,0.0,0.0,0.0352413,0.0,0.0,0.0,0.0,0.3449228,0.3121918,0.0,0.2784692,0.29445294,0.2554237,0.0,0.18076885,0.0,0.0,0.0,0.1250426,0.0,0.28788677,0.0,0.0,0.0,0.12842076,0.0,0.05541882,0.0,0.1502633,0.21450838,0.0,0.2795942,0.0,0.0,0.0,0.0,0
AARSD1,0.3129689,0.0,0.19419488,0.060741685,0.0,0.0,0.17034322,0.0,0.0,0.0,0.0,0.14951797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14947936,0.0,0.09172045,0.0,0.14386722,0.0,0.11211778,0.0,0.17868844,0.0,0.0,0.0,0.0,0.0,0.0,0.016823884,0.34098914,0.3186657,0.0,0.26042068,0.29370698,0.2737584,0.0,0.15606415,0.001602868,0.0,0.0,0.09222452,0.0,0.29183754,0.0,0.0,0.0,0.08735048,0.0,0.08753208,0.0026714313,0.13685715,0.20511352,0.0,0.26833835,0.0,0.0,0.0,0.007248406,0
AASDHPPT,0.4137806,0.0,0.16799079,0.024461698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09716338,0.0,0.0,0.0,0.043433122,0.0,0.0,0.0,0.022595158,0.0,0.0,0.06329604,0.0,0.0,0.0,0.0,0.3262356,0.31493676,0.0,0.28698373,0.32973233,0.18262811,0.0,0.2166818,0.0,0.0,0.0,0.1528327,0.0,0.28387472,0.0,0.0,0.0,0.18642552,0.034680184,0.020324046,0.0,0.17911343,0.23257245,0.0,0.28396425,0.0,0.0,0.0,0.0,0
AASS,0.34500974,0.0,0.1071161,0.0,0.0,0.0,0.008984148,0.0,0.0,0.0,0.0,0.23410234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032130785,0.0,0.16714597,0.045931756,0.18818675,0.0,0.109035544,0.0016911094,0.1587667,0.0,0.080462396,0.09856144,0.0,0.0,0.0,0.0,0.33269835,0.30197364,0.0,0.2683626,0.28310674,0.24879204,0.0,0.17385256,0.0,0.0,0.0,0.12255457,0.0,0.27952224,0.0,0.0,0.0,0.123701684,0.0,0.04993585,0.0,0.14582616,0.20948803,0.0,0.2693767,0.0,0.0,0.0,0.0,0
AATF,0.31654534,0.0,0.17501287,0.0,0.0,0.0,0.14281625,0.0,0.0,0.0,0.0,0.096251704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07535085,0.0,0.0073303804,0.0,0.026671823,0.0,0.1258271,0.0,0.17843778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3042729,0.29424962,0.0,0.30167866,0.27831122,0.19722693,0.0,0.257713,0.0,0.0,0.033406083,0.09501656,0.0,0.27118203,0.0,0.0,0.0,0.22189648,0.004984834,0.05939324,0.0,0.20610715,0.2840438,0.0,0.26983637,0.0,0.0,0.0,0.0,0
ABCA1,0.35898554,0.0,0.2553906,0.0,0.0,0.0,0.18765518,0.0,0.0,0.0,0.0,0.096052416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1029309,0.0,0.027243989,0.0,0.18289268,0.0,0.13664633,0.0,0.13702959,0.0,0.0,0.06366602,0.0,0.0,0.0,0.0031653743,0.33290446,0.30637106,0.0,0.25495058,0.28496787,0.263346,0.0,0.15815724,0.0,0.0,0.0,0.0968679,0.0,0.2807554,0.0,0.0,0.0,0.096239455,0.0,0.07789844,0.0,0.13273284,0.20108134,0.0,0.26137373,0.0,0.0,0.0,0.0,0
ABCA2,0.28401634,0.0,0.23095515,0.0,0.0,0.0,0.13600107,0.0,0.0,0.0,0.0,0.15658957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108185336,0.0,0.10058927,0.0,0.1994582,0.0,0.12800942,0.0,0.1702788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33306658,0.30772847,0.0,0.27466244,0.290253,0.25431433,0.0,0.17708077,0.0,0.0,0.0,0.11719052,0.0,0.28404254,0.0,0.0,0.0,0.12173717,0.0,0.05897184,0.0,0.14834501,0.21113712,0.0,0.27448925,0.0,0.0,0.0,0.0,0
ABCA3,0.30642903,0.0,0.21634477,0.016654853,0.0,0.0,0.13818967,0.0,0.0,0.0,0.0,0.10180897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10347579,0.0,0.098673746,0.0,0.1671092,0.0,0.18362907,0.0,0.14588849,0.0,0.025962383,0.06261235,0.0,0.0,0.0,0.0,0.33685383,0.3077861,0.0,0.27730063,0.29063544,0.253624,0.0,0.17757557,0.0,0.0,0.0,0.12315023,0.0,0.2810756,0.0,0.0,0.0,0.12990901,0.0,0.050626513,0.0,0.15058397,0.21152875,0.0,0.27410996,0.0,0.0,0.0,0.0,0
ABCB1,0.33459827,0.0,0.097715706,0.1276674,0.0,0.0,0.20676205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119858295,0.0,0.13322443,0.0,0.15096179,0.0,0.17743082,0.0,0.14276277,0.0,0.039353315,0.124604635,0.0,0.0,0.0,0.0,0.33057684,0.3081656,0.0,0.26540542,0.28717673,0.25615096,0.0,0.17239873,0.0,0.0,0.0,0.11068015,0.0,0.28173319,0.0,0.0,0.0,0.11521325,0.0,0.063590474,0.0,0.14246106,0.20746808,0.0,0.26614293,0.0,0.0,0.0,0.0,0
ABCB10,0.30731192,0.0,0.14867657,0.0,0.0,0.0,0.10175483,0.0,0.0,0.0,0.0,0.053743467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20882742,0.0,0.071214676,0.0,0.2872665,0.0,0.16570413,0.0,0.18479235,0.0,0.09790562,0.12968843,0.0,0.0,0.0,0.0,0.3216327,0.29286584,0.0,0.26127994,0.27558523,0.2425489,0.0,0.16644397,0.0,0.0,0.0,0.11537702,0.0,0.27110073,0.0,0.0,0.0,0.11991868,0.0,0.050212357,0.0,0.14088865,0.20055014,0.0,0.25933334,0.0,0.0,0.0,0.0,0
ABCB11,0.30358914,0.0,0.23369029,0.03512706,0.0,0.0,0.20179634,0.0,0.0,0.0,0.0,0.085845314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15334499,0.0,0.09201619,0.0,0.19657667,0.0,0.11033178,0.0,0.1406187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33905688,0.30153197,0.0,0.26681596,0.2867129,0.26146454,0.0,0.16498858,0.0,0.0,0.0,0.11571128,0.0,0.2830299,0.0,0.0,0.0,0.11071668,0.0,0.05734214,0.0,0.14985707,0.20776497,0.0,0.2679569,0.0,0.0,0.0,0.0,0
ABCB6,0.3464205,0.0,0.18181722,0.04866171,0.0,0.0,0.18517861,0.0,0.0,0.0,0.0,0.058796912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09428313,0.0,0.09712561,0.0,0.15107594,0.0,0.14787179,0.0,0.20247723,0.0,0.0,0.062496904,0.0,0.0,0.0,0.0,0.33519813,0.30735454,0.0,0.26515523,0.2884303,0.25530657,0.0,0.16845101,0.0,0.0,0.0,0.10993383,0.0,0.28028566,0.0,0.0,0.0,0.10860145,0.0,0.0660467,0.0,0.14662707,0.20856252,0.0,0.27059656,0.0,0.0,0.0,0.0,0
ABCB7,0.31966808,0.0,0.2088365,0.0,0.0,0.0,0.12552615,0.0,0.0,0.0,0.0,0.0910982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12886618,0.0,0.09859743,0.0,0.17369421,0.0,0.14665015,0.0,0.13314629,0.0,0.0,0.030824952,0.0,0.0,0.0,0.0,0.33984962,0.3093663,0.0,0.2756881,0.29062632,0.2553348,0.0,0.1791156,0.0,0.0,0.0,0.13172357,0.0,0.2827336,0.0,0.0,0.0,0.13419722,0.0,0.04784978,0.0,0.15428017,0.21428645,0.0,0.2778521,0.0,0.0,0.0,0.0,0
