,distance
BHLHE40,0.11937726921379004
TBP,0.12270255077188424
YY1,0.12499907307690798
JUND,0.13430586062762345
ELF1,0.1370183067984534
POLR2AphosphoS2,0.1378525643720888
BCLAF1,0.13854452772327747
CHD1,0.14134392402468798
ZBTB33,0.14441580232051324
CEBPZ,0.14490459043893356
ZNF143,0.14492924193484805
FOS,0.14511274368388388
MEF2A,0.1457075544902887
NBN,0.14626694613814148
NFYB,0.14797114487978985
NR2C2,0.15355469178800316
ZBTB40,0.15393349542154205
ETS1,0.15478073858113398
STAT5A,0.15615589985182368
TAF1,0.157158640937
ZBED1,0.15716851316242866
SMAD5,0.16526641562478442
MTA2,0.16556694714508394
TBL1XR1,0.16947038656111083
NRF1,0.1711427239885456
EGR1,0.17206602051887693
CTCF,0.17697091023385167
MXI1,0.1793368095763515
SPI1,0.17977191594859393
ELK1,0.18283974204752126
CBX5,0.18342469510290668
UBTF,0.1843120157068995
TARDBP,0.18809424135643896
MAX,0.18881831047836567
HDGF,0.19042072730431966
USF1,0.19123097385802124
PML,0.1948806346184056
GABPA,0.19657342565713576
SIN3A,0.2007494618065644
RFX5,0.2009066091076023
SRF,0.20112558882380865
MAFK,0.20271243653794419
E2F4,0.2029380566330721
RCOR1,0.2047875291919815
SIX5,0.20764722774736302
CHD2,0.20958321623582588
SUZ12,0.21032246293952406
EP300,0.21336317384624287
ETV6,0.21344759060536733
ATF3,0.21518941221543525
POLR3G,0.21588431410139222
IKZF1,0.22041102818275032
YBX1,0.22269037768900132
SMC3,0.22638910017709443
POLR2A,0.22794720321008904
SP1,0.23312630336129994
REST,0.23723640120603773
USF2,0.23818498180313158
NFYA,0.24510140458615712
POLR2AphosphoS5,0.26616315021277753
CEBPB,0.2678080516052283
JUNB,0.27747484306393455
MLLT1,0.285756158997369
RAD21,0.29509468605698874
NFE2,0.32570142334205865
MYC,0.34499429326717956
EZH2,0.36215513654173886
MAZ,0.3633532382289899
ZNF274,0.5761115001486139
