,distance
HDGF,0.016283795897379136
NFYB,0.02431892466815697
BHLHE40,0.0308380006185019
ETS1,0.031441270017116885
EGR1,0.03314547359241134
TARDBP,0.03327818563480642
ZBED1,0.03338296054932751
SIX5,0.03447846925105307
POLR2A,0.04188159440615264
FOS,0.04197774199011692
PML,0.04396670129660989
ZBTB33,0.0458148912630343
STAT5A,0.045916736334718045
RCOR1,0.04602067593003633
IKZF1,0.048049744048083716
CEBPZ,0.04832501178683457
E2F4,0.05039095880230242
MXI1,0.05385761960623192
POLR2AphosphoS5,0.05484943051780208
SP1,0.06188302436602384
MLLT1,0.06382949113650417
USF1,0.06463817173813231
TAF1,0.0651208472887479
POLR3G,0.06543533937574718
CEBPB,0.06791903740358575
GABPA,0.0685258447876034
SIN3A,0.07364092576922929
MAZ,0.07587058762490434
MEF2A,0.07936362155467303
YBX1,0.07987988553969569
MAX,0.08313225414445043
MYC,0.0835472173187015
MAFK,0.08402427163455739
USF2,0.08576041223513357
ELK1,0.08643119387165213
NBN,0.08977967812757617
CHD1,0.09027140813571766
TBP,0.09465741776338944
JUND,0.09667142382093004
YY1,0.09725333101671732
RAD21,0.097477837430202
EZH2,0.09791030656422525
MTA2,0.09824681876067491
NRF1,0.1005629976861231
ZNF143,0.1011665870587035
NFYA,0.10299216350745811
ATF3,0.10344770604160158
BCLAF1,0.10487837384233022
SRF,0.10500555687927586
NR2C2,0.10593945285951523
NFE2,0.11102552159190895
REST,0.1121200549180606
CTCF,0.1121717801653165
SMAD5,0.11359989504651424
SUZ12,0.11460244985980388
JUNB,0.11655245809563726
POLR2AphosphoS2,0.11762081911491377
SMC3,0.12093959379177151
UBTF,0.12194680313973325
ELF1,0.12202907535493718
SPI1,0.12319529847364472
CBX5,0.12593874654464435
RFX5,0.13431336063502414
ZBTB40,0.13438373743487106
ETV6,0.16050834421457294
EP300,0.16698258985194292
CHD2,0.2095207751649295
TBL1XR1,0.2231157297291147
ZNF274,0.2494226740243215
