,distance
ELF1,0.05914777667517149
ZBTB40,0.07074888867157428
ETS1,0.07320678226308647
NR2C2,0.07584147353538248
ELK1,0.07673809488196436
CEBPZ,0.08478802229572967
SIX5,0.08683955526330278
SRF,0.08798512278479911
NRF1,0.08860375857841334
GABPA,0.08968257317154402
TBP,0.09088844320724339
SIN3A,0.09787276833697486
E2F4,0.1016440853533771
RAD21,0.10183820088528948
NFYA,0.10229111262072146
POLR2A,0.10248178704614112
POLR2AphosphoS2,0.10286328192322264
TAF1,0.1034800077686402
NBN,0.10398034123868583
ATF3,0.10652833844228894
CEBPB,0.10668065642071581
CTCF,0.10908561242349328
CHD2,0.1092439732533116
MAX,0.10928440460977262
SMC3,0.10976798553149116
ZBTB33,0.11118042499857969
MAZ,0.11127583251991084
USF2,0.11223513272937465
ETV6,0.11259889388824665
BHLHE40,0.11393346431572424
MLLT1,0.11512824271877474
USF1,0.11569270034916401
BCLAF1,0.11610392139293159
IKZF1,0.12013455944260808
SPI1,0.12545211256256697
POLR3G,0.1307751777225492
PML,0.13177967012574904
MTA2,0.1320863677880758
MYC,0.1329976665382196
NFYB,0.13723398197080336
JUND,0.1382996057167037
POLR2AphosphoS5,0.13919384756382633
SUZ12,0.13979027719667902
FOS,0.14453630569013604
EP300,0.1449145629390294
SMAD5,0.14795886890130425
TARDBP,0.14961774762073618
MAFK,0.14969611636818445
YY1,0.1524246628869312
EGR1,0.15269855656784348
CHD1,0.15712130824072007
YBX1,0.15879527034183766
JUNB,0.16299922700818703
UBTF,0.16605934253309773
HDGF,0.1754995555645174
TBL1XR1,0.17875383729329306
RCOR1,0.18199736991151133
SP1,0.18930765689696952
ZBED1,0.19258276714053485
ZNF143,0.20143492627877513
STAT5A,0.20541585199251094
NFE2,0.20648683972496623
CBX5,0.2152645839238698
MXI1,0.21688565696674408
MEF2A,0.23644515673469996
EZH2,0.2435831428405802
RFX5,0.2509742488669753
REST,0.2606155107395329
ZNF274,0.4637856618042557
