,distance
YY1,0.15920806827844836
POLR2AphosphoS5,0.16658419527976168
SP1,0.18396507481876004
ELK1,0.188599360638933
E2F4,0.18900715660014414
NFYB,0.200112433289964
BCLAF1,0.20228600145344167
SPI1,0.209397151575403
RAD21,0.20974990536096613
CHD2,0.21034462760421455
EGR1,0.21086552395786545
TBP,0.21134100912065262
CHD1,0.21299501451398042
NBN,0.21324666168655818
TAF1,0.22091290756284546
GABPA,0.2226782265963529
FOS,0.22306301510020968
ETS1,0.22379077488038412
HDGF,0.2243898670338049
TBL1XR1,0.22845476371406417
MAX,0.2291200817596012
ATF3,0.23351037648082773
MYC,0.23374209622474323
CEBPB,0.24023361064181742
ELF1,0.24101281915807188
POLR2AphosphoS2,0.24218583607924765
POLR2A,0.2471582159928775
CEBPZ,0.24932118075256496
EP300,0.250590436521833
NFYA,0.2557636507758195
STAT5A,0.2664572154312017
MXI1,0.26745193101447645
ZBTB40,0.2713659846706531
SMAD5,0.2734519006107166
UBTF,0.28399458889998175
JUND,0.2891029247152994
CBX5,0.2902670213303363
REST,0.2923086322424799
IKZF1,0.29938858681100977
MLLT1,0.30202644766826947
NRF1,0.3045074926482875
ZNF143,0.3081427793735735
ZBED1,0.3138221288994036
YBX1,0.3173735113310645
POLR3G,0.31880195612335976
ZBTB33,0.3245017216734529
TARDBP,0.32495199986652296
CTCF,0.32683426682666616
NR2C2,0.32748989496690595
JUNB,0.3333401774934702
SMC3,0.33352852403252825
MAZ,0.33404122428066924
BHLHE40,0.3344030427442494
ETV6,0.33490708370090166
SRF,0.3358944108952603
MEF2A,0.34703907096188347
SUZ12,0.3548577444713108
USF1,0.3630845148973394
SIN3A,0.37669531571399345
MAFK,0.38168130660682553
RCOR1,0.38971403489350714
SIX5,0.4132218560338002
PML,0.423146279569111
ZNF274,0.4274531951759908
MTA2,0.4435884354305664
EZH2,0.46260187169021355
RFX5,0.4940612813637622
USF2,0.5995027717434463
NFE2,0.6071793043842031
