,distance
POLR2A,0.2316106313579377
CEBPZ,0.24365716865925144
TAF1,0.2553528507714729
RAD21,0.26093204420347227
PML,0.26622440407902714
RFX5,0.2714847180369251
SIX5,0.282152754196765
NR2C2,0.3080214304532313
EGR1,0.30867581215403167
CHD2,0.30941144376045465
MAZ,0.3096053332283725
FOS,0.3195842296403026
POLR3G,0.3281726509841591
CHD1,0.3321858284288403
ATF3,0.3409985831268465
USF2,0.35036643401189077
E2F4,0.35121237627516516
UBTF,0.361479938581684
ELF1,0.36443809643885444
SPI1,0.3650710241637827
CTCF,0.3673436203938674
BCLAF1,0.37808578340247134
NFE2,0.3813425509485094
TARDBP,0.38282547455780913
MYC,0.38749173240119805
TBP,0.3927784703154139
YY1,0.39614927851286263
NFYA,0.4023595266514597
ELK1,0.402742567018874
SRF,0.4119224754659431
JUND,0.4141449044576796
SUZ12,0.42086643246401173
SIN3A,0.42298274268924857
POLR2AphosphoS2,0.4251638608494815
ZBTB33,0.429330967704287
NRF1,0.4343000113104989
GABPA,0.4387359881874436
BHLHE40,0.4456405632350751
ETS1,0.44896998823494577
USF1,0.4549909161656788
TBL1XR1,0.45873718301150745
MXI1,0.46045334576293895
NFYB,0.4667393198691169
MAFK,0.4690678857119883
MLLT1,0.46931824740126044
MAX,0.4764120198496109
SP1,0.4777942361026267
IKZF1,0.48808440399905895
ZNF143,0.4885470116914732
SMC3,0.48952474364027804
ZNF274,0.49686563336752526
POLR2AphosphoS5,0.5069060330717368
EZH2,0.5203992801198443
ETV6,0.5216651264801581
ZBTB40,0.5524008474997519
RCOR1,0.5657319421338014
STAT5A,0.5703508696926227
SMAD5,0.5729008740536671
REST,0.5794439357451033
NBN,0.5802306843829147
MEF2A,0.6052025827236056
JUNB,0.6331331800058576
HDGF,0.639022882682713
CEBPB,0.6516409215845788
EP300,0.7103199287112527
ZBED1,0.7113421383650765
CBX5,0.7376785064537936
YBX1,0.749620096190878
MTA2,0.7877077761593625
