,distance
CEBPB,0.03601243604590602
NFYA,0.04146960064808798
EP300,0.05665817709373217
MYC,0.06262861027134117
JUNB,0.06976071384636696
YBX1,0.07176952427121427
USF1,0.08059609523128894
HDGF,0.08078725063946358
NFE2,0.08276199626962646
BCLAF1,0.09456250316825442
NRF1,0.09692104485200079
GABPA,0.09803225511397075
CBX5,0.09885480958531803
SP1,0.10759099130163606
RAD21,0.11236893349089214
MTA2,0.11306802514920787
POLR2AphosphoS2,0.11587142009646834
JUND,0.11804058369037763
USF2,0.12570121723823593
ZNF143,0.12574354983032326
EGR1,0.125747588023002
YY1,0.1280281288838731
SMC3,0.12959287966499974
TBP,0.12965016884273103
CHD1,0.1315562695563129
CHD2,0.13160319424138864
NR2C2,0.1331834978814474
ELK1,0.13506441374136247
TARDBP,0.13805971940794468
SMAD5,0.1382971452902934
CEBPZ,0.1404956233762283
SRF,0.14538541713772088
ELF1,0.15143359661409683
MEF2A,0.15359840076731382
IKZF1,0.153693433348564
ZBTB40,0.15745511836395723
POLR3G,0.16018845711886553
REST,0.1620167029812525
SIX5,0.16391681666621555
ZNF274,0.17060235262023912
MLLT1,0.17693751481885694
MAX,0.1775228515976741
ETS1,0.1808943346348906
SIN3A,0.1849660504861657
E2F4,0.1900667257073257
MAZ,0.19092811658112116
NBN,0.19821854702681901
RFX5,0.2172863459783231
EZH2,0.2189135173579142
ETV6,0.22165328748856317
ATF3,0.22227400865009553
PML,0.2399765487941186
FOS,0.24974502959517264
SPI1,0.25417034041360975
NFYB,0.260770989833262
POLR2A,0.2728294379757805
MAFK,0.28764909000404987
MXI1,0.29230958664417794
CTCF,0.2943656263144709
POLR2AphosphoS5,0.32731185034843663
SUZ12,0.3729058581584097
ZBTB33,0.4011965372289414
TBL1XR1,0.41583493666961063
RCOR1,0.4512713987860915
ZBED1,0.4673992169950587
STAT5A,0.48026329343916263
TAF1,0.49536995533072053
UBTF,0.597574340417977
BHLHE40,0.6115527010652958
