,distance
EGR1,0.1291817815356766
ETS1,0.1394427486589345
MAZ,0.14459227324711335
POLR3G,0.14644213180143403
SIX5,0.15802887963626674
MAX,0.17354432074770262
FOS,0.1791700782687439
NBN,0.18059433796966695
BCLAF1,0.18098320778359486
NRF1,0.18307463369313023
USF1,0.1837654989475323
MEF2A,0.18535233800117312
IKZF1,0.18706461107781666
SPI1,0.2014725090074161
RAD21,0.20276523310459404
MAFK,0.2028630482876091
YY1,0.20432784087736366
POLR2A,0.2057603572900282
MXI1,0.2132786592600053
HDGF,0.2175441766122823
ATF3,0.22183702683205764
NR2C2,0.22185535016209354
RCOR1,0.22348159451928312
CEBPB,0.22647792685636914
CHD1,0.22994362598548668
SRF,0.23557601383655882
SP1,0.2362580292595636
USF2,0.23761482415222057
REST,0.23996327468966702
POLR2AphosphoS2,0.24203065679588207
NFYB,0.24398252230530695
E2F4,0.24710581684405078
POLR2AphosphoS5,0.248682319041384
MTA2,0.25010681866923534
TBL1XR1,0.25052758207626374
GABPA,0.252657446293184
CHD2,0.2653646930009198
ZBTB33,0.26726739543152034
SMC3,0.2689019795404078
EP300,0.26976985671815595
RFX5,0.2728665992694091
SUZ12,0.2757060552798071
CTCF,0.2757752344360823
JUNB,0.27853180309569303
TBP,0.29144298886623504
MYC,0.3000002059931145
BHLHE40,0.3039786013665281
CEBPZ,0.30779179582407246
ETV6,0.3088814260663564
MLLT1,0.3089553292509737
NFYA,0.3113811458871145
PML,0.3127318732874996
SIN3A,0.3145751090827261
JUND,0.32829845022776943
EZH2,0.32861712934958687
CBX5,0.33422068152789947
NFE2,0.3502123528585262
YBX1,0.35526743547547557
ZBTB40,0.3724097225989467
SMAD5,0.3810247436205614
UBTF,0.38421596577197276
ZBED1,0.3926329847927751
ELF1,0.4026936868414684
TARDBP,0.40817442604561516
STAT5A,0.4145810005133996
ZNF143,0.42604006566333313
TAF1,0.45562280370110825
ELK1,0.479020847528446
ZNF274,0.5059952831116171
